51521761, 0, 1, 1188
51521768, 51521767, 19626621, 1188
51521769, 51521767, 3075512, 1188
51521770, 51521767, 19625127, 1188
51521771, 51521767, 326094, 1188
51521772, 51521767, 1023238, 1188
51521773, 51521767, 325212, 1188
51521774, 51521767, 326009, 1188
51521775, 51521767, 19625129, 1188
51521776, 51521767, 3075517, 1188
51521777, 51521767, 1038977, 1188
51521778, 51521767, 347884, 1188
51521779, 51521767, 347886, 1188
51521780, 51521767, 1021307, 1188
51521781, 51521767, 3075522, 1188
51521782, 51521767, 330098, 1188
51521783, 51521767, 128492, 1188
51521784, 51521767, 19635534, 1188
51521785, 51521767, 127976, 1188
51521786, 51521767, 19625128, 1188
51521787, 51521767, 347672, 1188
51521788, 51521767, 1038685, 1188
51521767, 51521766, 14765, 1188
51521766, 51521765, 7353, 1188
51521791, 51521790, 1018536, 1188
51521792, 51521790, 327821, 1188
51521790, 51521789, 42232, 1188
51521789, 51521765, 7324, 1188
51521795, 51521794, 4287536, 1188
51521794, 51521793, 4287533, 1188
51521793, 51521765, 4287532, 1188
51521798, 51521797, 999018, 1188
51521799, 51521797, 326760, 1188
51521800, 51521797, 325372, 1188
51521801, 51521797, 347752, 1188
51521802, 51521797, 1037834, 1188
51521803, 51521797, 3072862, 1188
51521804, 51521797, 347010, 1188
51521805, 51521797, 1039309, 1188
51521806, 51521797, 19633482, 1188
51521807, 51521797, 325380, 1188
51521797, 51521796, 41823, 1188
51521796, 51521765, 7243, 1188
51521810, 51521809, 1018551, 1188
51521811, 51521809, 328167, 1188
51521812, 51521809, 325437, 1188
51521813, 51521809, 1038480, 1188
51521814, 51521809, 1018550, 1188
51521815, 51521809, 126942, 1188
51521816, 51521809, 19635530, 1188
51521809, 51521808, 14061, 1188
51521818, 51521817, 330109, 1188
51521819, 51521817, 1021794, 1188
51521820, 51521817, 289631, 1188
51521821, 51521817, 289827, 1188
51521822, 51521817, 289826, 1188
51521823, 51521817, 325967, 1188
51521824, 51521817, 999123, 1188
51521825, 51521817, 327767, 1188
51521826, 51521817, 4284118, 1188
51521827, 51521817, 325439, 1188
51521828, 51521817, 326840, 1188
51521829, 51521817, 326513, 1188
51521830, 51521817, 328360, 1188
51521831, 51521817, 325438, 1188
51521832, 51521817, 330106, 1188
51521833, 51521817, 127002, 1188
51521834, 51521817, 325968, 1188
51521817, 51521808, 14104, 1188
51521836, 51521835, 326771, 1188
51521837, 51521835, 326905, 1188
51521838, 51521835, 1016842, 1188
51521839, 51521835, 326200, 1188
51521840, 51521835, 325290, 1188
51521841, 51521835, 1020857, 1188
51521842, 51521835, 1018469, 1188
51521843, 51521835, 342299, 1188
51521844, 51521835, 326766, 1188
51521845, 51521835, 340881, 1188
51521846, 51521835, 326907, 1188
51521847, 51521835, 325468, 1188
51521848, 51521835, 126969, 1188
51521849, 51521835, 289746, 1188
51521835, 51521808, 14085, 1188
51521851, 51521850, 347746, 1188
51521852, 51521850, 326069, 1188
51521853, 51521850, 330718, 1188
51521854, 51521850, 3074219, 1188
51521855, 51521850, 326670, 1188
51521856, 51521850, 3074221, 1188
51521857, 51521850, 311464, 1188
51521858, 51521850, 347745, 1188
51521859, 51521850, 344289, 1188
51521860, 51521850, 326669, 1188
51521861, 51521850, 326068, 1188
51521862, 51521850, 1038680, 1188
51521863, 51521850, 1019008, 1188
51521864, 51521850, 344366, 1188
51521865, 51521850, 343963, 1188
51521866, 51521850, 326071, 1188
51521867, 51521850, 347804, 1188
51521868, 51521850, 326073, 1188
51521869, 51521850, 343961, 1188
51521871, 51521870, 1249128, 1188
51521872, 51521870, 1283444, 1188
51521870, 51521850, 343964, 1188
51521873, 51521850, 347520, 1188
51521874, 51521850, 1021537, 1188
51521875, 51521850, 3074238, 1188
51521876, 51521850, 325734, 1188
51521850, 51521808, 39376, 1188
51521878, 51521877, 289635, 1188
51521879, 51521877, 325250, 1188
51521880, 51521877, 1038612, 1188
51521881, 51521877, 20511889, 1188
51521882, 51521877, 1022045, 1188
51521883, 51521877, 325249, 1188
51521884, 51521877, 1022979, 1188
51521885, 51521877, 325248, 1188
51521886, 51521877, 19614239, 1188
51521887, 51521877, 342302, 1188
51521877, 51521808, 36086, 1188
51521889, 51521888, 311300, 1188
51521888, 51521808, 39346, 1188
